category;views;videos;likes;duration [years]
Autos & Vehic.;1.231E+11;2300000;956300000;27
Comedy;3.45E+11;1200000;6134200000;18.9
Education;5.024E+11;3800000;2881400000;117.1
Entertainment;2.2877E+12;12300000;20140600000;243.1
Film & Anim.;5.763E+11;2400000;3737800000;47.7
Gaming;1.0425E+12;13700000;17351300000;623.2
Howto & Style;4.207E+11;4000000;5790800000;73.6
Music;2.475E+12;8300000;19270500000;124.1
News & Politics;1.586E+11;8900000;1892900000;144.8
Nonprofits;18500000000;800000;242900000;29.5
People & Blogs;6.173E+11;6900000;9138100000;148.8
Pets & Animals;72100000000;600000;659800000;9.9
Science & Tech.;1.75E+11;2400000;1978400000;47.5
Sports;2.62E+11;4400000;2528100000;77.3
Travel & Events;56400000000;1100000;459800000;19.2
