category_cc,join_date,channel,name_cc,subscribers_cc,videos_cc,subscriber_rank_sb,weights,mean_activity,Channel_country
News & Politics,2007-03-03,UCGbEXjkmPTCQfJ4FiD3lOQg,WWLP-22News,27100,78500,436168.0,9.023,96.74011299435028,Country not available
News & Politics,2016-03-18,UCT350j4u6alUKyF9eu2bGug,ABC10,17215,8239,609770.0,9.1285,140.928,US
News & Politics,2008-03-31,UCYI_ychRnL7sJrG6PUSBpQA,CBN News,187000,20202,79164.0,3.661,109.21019108280255,US
News & Politics,2014-10-07,UCCK3OZi788Ok44K97WAhLKQ,Ada Derana,496000,38626,30026.0,3.0545,418.0379746835443,LK
News & Politics,2008-08-15,UCDFLiE2iGUvlZMmhemzy6eA,NBC4 WCMH-TV Columbu...,43400,22181,254204.0,4.775,161.75977653631284,US
News & Politics,2017-03-31,UCz2yxQJZgiB_5elTzqV7FiQ,BOL News,441922,5029,26548.0,3.0005,78.13953488372093,PK
News & Politics,2016-01-21,UCg0BZXZm905Jr8g3S05XPIw,Beauty Pageants,619000,5135,26165.0,3.023,70.875,IN
News & Politics,2007-04-26,UCYWIEbibRcZav6xMLo9qWWw,The Ring of Fire,415000,10718,39705.0,3.2695,87.09615384615384,US
News & Politics,2014-07-30,UCH7nv1A9xIrAifZJNvt7cgA,ABP Majha,3926962,101346,1911.0,2.0869999999999997,551.1089743589744,IN
News & Politics,2006-07-19,UCeY0bbntWzzVIaj2z3QigXg,NBC News,1470000,19165,7967.0,2.5755,212.94838709677418,Country not available
News & Politics,2010-05-24,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,417999,43465,38675.0,3.255,333.05128205128204,ZA
News & Politics,2013-05-31,UC3yDoaqQzOd1bNP74ZrGPTA,Kantipur TV HD,1270000,27145,10254.0,2.6489999999999996,328.8322580645161,US
News & Politics,2017-01-30,UCDsqO64pLl5NF6hKMBGXgQA,Cinema Politics,666000,10540,23530.0,2.97,172.11851851851853,IN
News & Politics,2014-03-10,UCWk-7Yosyvzln9ZzJg8BvVg,Rajasthan Patrika,918000,76521,13300.0,2.786,222.95541401273886,IN
News & Politics,2015-09-12,UCS6edfxHQU-dK1k7eUVawmw,TV9 NOW,396000,6357,38573.0,3.2515,126.90178571428571,IN
News & Politics,2017-11-02,UCUReanjEVG0atLd7xyXbdFg,THE TV NRI,100907,7423,110617.0,5.0245,168.8181818181818,CA
News & Politics,2009-05-22,UCfEflJTjF2hq0IbfkSWGRkg,Castanet News,14061,11694,712634.0,11.9455,90.13812154696133,CA
News & Politics,2011-10-28,UCJi8M0hRKjz8SLPvJKEVTOg,ETV Andhra Pradesh,1760000,223775,6089.0,2.4605,639.3012820512821,Country not available
News & Politics,2017-02-17,UCMYlXK0jyerVnc3dmz-vjCA,10News WTSP,16701,12623,520837.0,9.63,93.88617886178862,US
News & Politics,2015-12-11,UC6ickpgDIsltU_-8CbZaksQ,ETV Telangana,540782,118785,27705.0,2.9775,121.40384615384616,Country not available
News & Politics,2014-05-21,UCvM_k1scQ1YU50HiQc-4xyg,KRIS 6 News,16254,13013,611859.0,9.4575,155.39247311827958,Country not available
News & Politics,2015-05-23,UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2250000,74453,4479.0,2.363,653.4038461538462,IN
News & Politics,2015-06-14,UCsPEbQedjaU0f6Hf-VFdIFg,Covai Post,41000,4544,296929.0,7.2685,59.9746835443038,IN
News & Politics,2016-08-26,UCwQjXDfumjqAXnkqi2AtsNQ,ARY Tube,291000,4310,61248.0,3.7739999999999996,238.6,PK
News & Politics,2006-04-08,UC16niRr50-MSBwiO3YDb3RA,BBC News,5190000,10459,1531.0,2.0869999999999997,74.49677419354839,GB
News & Politics,2017-09-10,UCWOBMsWmB-petHJs8BarYGg,7H News,282780,3629,59986.0,3.5575,75.82,IN
News & Politics,2015-06-09,UCBjofXtZArg9QSuzOWwbflw,CBS47 KSEE24,15439,9712,648945.0,9.982,251.13953488372093,Country not available
News & Politics,2013-12-07,UCYUbNjkuE4lsr2v1Id2O1oA,ABC7 News Bay Area,32000,5721,324693.0,7.7185,88.07142857142857,US
News & Politics,2009-06-15,UCV5KgNhOM87RJB7Fbv8C2CQ,6 On Your Side,10216,19917,922220.0,17.9025,85.75842696629213,US
News & Politics,2014-11-27,UCgp4A6I8LCWrhUzn-5SbKvA,TVC News Nigeria,188000,17736,84453.0,4.3385,229.8227848101266,NG
News & Politics,2007-10-25,UCYYSLCzDmmED5hnYcFmKimA,Ottawa Citizen,27400,10112,444796.0,7.328500000000001,69.33516483516483,CA
News & Politics,2008-10-02,UCAAmkc2sRESFoEtiKRTaTRA,News 5 Cleveland,138000,53493,115127.0,4.761,201.34591194968553,Country not available
