display_id,event_type,region,event,duration,is_live,channel_activity,capitalisation_ratio,subjectivity_score
Xgta9SxHnrs,environmental,US,Hurricane Harvey (2017),57,0,52.3448275862069,0.07272727272727272,0.34619504
HRmGr3w0EMI,environmental,US,Hurricane Harvey (2017),15,0,47.58620689655172,0.08695652173913043,0.19297698
M8O2WLG0hrY,environmental,US,Hurricane Harvey (2017),173,0,1.6896551724137931,0.0784313725490196,0.3070187
d3h7-2j6Rz8,environmental,US,Hurricane Harvey (2017),111,0,2.0,0.12962962962962962,0.41402537
Wg8zqO7mwfk,environmental,US,Hurricane Harvey (2017),105,0,2.1379310344827585,0.05555555555555555,0.041297346
z1rRASJ1KxU,environmental,US,Hurricane Harvey (2017),153,0,2.206896551724138,0.07692307692307693,0.6048365
T3qDrMb26_U,environmental,US,Hurricane Harvey (2017),83,0,2.103448275862069,0.15,0.02418851
t1i2iL-5zQQ,environmental,US,Hurricane Harvey (2017),168,0,2.103448275862069,0.06666666666666667,0.8269615
mdCU77Djraw,environmental,US,Hurricane Harvey (2017),147,0,2.1379310344827585,0.02857142857142857,0.16565521
8NcCYl377nw,environmental,US,Hurricane Harvey (2017),127,0,1.9310344827586208,0.021739130434782608,0.4817689
LBjvQAnrdgY,environmental,US,Hurricane Harvey (2017),98,0,1.9310344827586208,0.08571428571428572,0.48888445
8UtiLV__JAI,environmental,US,Hurricane Harvey (2017),107,0,1.9310344827586208,0.1111111111111111,0.27422565
lcHTc_VkkGk,environmental,US,Hurricane Harvey (2017),194,0,2.1379310344827585,0.07692307692307693,0.42322028
3tOQDf0Qgd0,environmental,US,Hurricane Harvey (2017),81,0,2.1724137931034484,0.10638297872340426,0.81483537
HtWPUsQMSM4,environmental,US,Hurricane Harvey (2017),128,0,2.1379310344827585,0.019230769230769232,0.6254433
L6OIAdpOHfU,environmental,US,Hurricane Harvey (2017),228,0,2.1379310344827585,0.1111111111111111,0.035857175
6lSmZz9IgjU,environmental,US,Hurricane Harvey (2017),151,0,2.4482758620689653,0.05084745762711865,0.82447225
2yqO75eQ2RY,environmental,US,Hurricane Harvey (2017),177,0,2.5517241379310347,0.016666666666666666,0.036036417
KJdfHQG_Q-M,environmental,US,Hurricane Harvey (2017),112,0,2.7241379310344827,0.14705882352941177,0.72364885
lZ0mzcOByqw,environmental,US,Hurricane Harvey (2017),202,0,2.7586206896551726,0.06,0.2250559
Cq7teMcAdkU,environmental,US,Hurricane Harvey (2017),130,0,2.8620689655172415,0.05263157894736842,0.7950224
Qry7qEQ6F-c,environmental,US,Hurricane Harvey (2017),158,0,2.8620689655172415,0.0125,0.024764908
ExMIZPIfzcg,environmental,US,Hurricane Harvey (2017),315,0,3.5517241379310347,0.12,0.063050136
ExMIZPIfzcg,environmental,US,Hurricane Harvey (2017),315,0,3.5517241379310347,0.12,0.8211269
ExMIZPIfzcg,environmental,US,Hurricane Maria (2017),315,0,3.5517241379310347,0.12,0.2728093
ExMIZPIfzcg,environmental,US,Hurricane Maria (2017),315,0,3.5517241379310347,0.12,0.7826816
